generated,expected,generated_md,original_md
"It's been a minute since I've written about basketball, but I have no fear — I'm back!","It's been a minute since I've written about basketball, but I have no fear — I'm back!","(MD0)It's been a minute since I've written about basketball, but I have no fear — I'm back! (MD0)",(MD0)It’s been a minute since I’ve written about basketball; but have no fear — I’m back!(MD0)
"For those that know me, you know how much money and LeBron James fans I am.","For those that know me, you know how much money and LeBron James fans I am.","(MD0) For those that know me, you know how much money and LeBron James fans I am. (MD0)","(MD0)For those that know me, you know exactly how big of a basketball AND LeBron James fan I am.(MD0)"
"For those that don't know me, you will quickly learn about my obsession with the game.","For those that don't know me, you will quickly learn about my obsession with the game.","(MD0) For those that don't know me, you will quickly learn about my obsession with the game. (MD0)","(MD0)For those that do not know me, you will quickly learn about my passion for the game.(MD0)"
"MD0) Despite the fact that many people watch basketball, or some sports for that matter, as a form of entertainment, I take a different approach:","Although many people watch basketball, or some other sports for that matter, as a form of entertainment, I take a different approach:","MD0) Despite the fact that many people watch basketball, or some sports for that matter, as a form of entertainment, I take a different approach: (MD0)","(MD0)While many folks watch the sport of basketball, or any sport for that matter, as a form of entertainment, I take a different approach:(MD0)"
"Basketball, to me, is an educational tool.","Basketball, to me, is an educational tool.","(MD0) Basketball, to me, is an educational tool. (MD0)","(MD0)Basketball, to me, is an educational tool.(MD0)"
"I love learning and understanding the finer details of the game; this includes, but not limited to, footwork, spacing, rotations, off-ball movement, and so on; one could say I'm a nerd when it comes to hoops.","I love watching hoops; this includes, but not limited to, footwork, spacing, rotations, off-ball movement, and so on; one might say I'm a nerd when it comes to hoops.","(MD0) I love learning and understanding the finer details of the game; this includes, but not limited to, footwork, spacing, rotations, off-ball movement, and so on; one could say I'm a nerd when it comes to hoops. (MD0)","(MD0)I love watching to learn and understand the finer details of the game; this includes, but is not limited to, details like footwork, spacing, rotations, off-ball movement, and so on… one might say I’m a nerd when it comes to hoops.(MD0)"
But all of this is important.,But all of this is important.,(MD0) But all of this is important. (MD0),(MD0)But all of this is important.(MD0)
Why? Why? Why? Why?,Why?,(MD0) Why? (MD0) Why? (MD0) Why? (MD0) Why?,(MD0)Why?(MD0)
"The game has done so much for me as a child, and I do my best to give back to the next generation so they can feel the effects of a sport so popular outside of the courtroom.","The game has done so much for me as a child, and I do my best to give back to the next generation so they can feel the effects of a sport so popular outside of the courtroom.","(MD0) The game has done so much for me as a child, and I do my best to give back to the next generation so they can feel the effects of a sport so popular outside of the courtroom. (MD0)","(MD0)The game has done so much for me growing up and I do my best to give back to the next generation, so they can feel the impact of a sport so powerful beyond the court.(MD0)"
"I promise you that I'll be a good coach when my time comes; until then, I'll be serving buckets and sharing as much information as possible.","When my time comes, I promise you that I'll be a great coach; until then, I'll be serving buckets and sharing as much information as possible.","(MD0) I promise you that I'll be a good coach when my time comes; until then, I'll be serving buckets and sharing as much information as possible. (MD0)","(MD0)I promise you I’ll be an excellent coach in the future when my time comes; till then, I’ll be serving buckets on the court and sharing as much knowledge about the game as possible.(MD0)"
